จำนวนการเกิดมีชีพทั้งหมด การเกิดมีชีพในโรงพยาบาล และร้อยละการเกิดมีชีพในโรงพยาบาลต่อการเกิดมีชีพทั้งหมด จำแนกเป็นรายภาค และจังหวัด พ.ศ. 2551 - 2560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หน่วย: คน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาค,จังหวัด,2551,,,2552,,,2553,,,2554,,,2555,,,2556,,,2557,,,2558,,,2559,,,2560,,
,,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ,การเกิดมีชีพทั้งหมด,การเกิดในโรงพยาบาล,ร้อยละ
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,"784,256","662,920",84.53,"765,046","702,689",91.85,"761,689","691,026",90.72,"795,031","740,232",93.11,"801,737","783,248",97.69,"748,081","711,108",95.06,"711,805","690,310",96.98,"679,502","656,232",96.58,"666,207","641,146",96.24,"656,571","631,198",96.14
กรุงเทพมหานคร,กรุงเทพมหานคร,"106,655","64,076",60.08,"101,112","94,180",93.14,"98,143","89,662",91.36,"101,019","91,432",90.51,"103,280","102,156",98.91,"93,829","88,558",94.38,"88,242","86,572",98.11,"84,766","82,026",96.77,"84,644","80,918",95.60,"82,940","79,250",95.55
ภาคกลาง,ภาคกลาง,"209,044","184,127",88.08,"201,904","190,195",94.20,"199,877","187,947",94.03,"210,293","199,643",94.94,"211,742","208,795",98.61,"194,471","188,365",96.86,"187,758","183,838",97.91,"179,390","174,839",97.46,"176,976","170,901",96.57,"175,586","168,547",95.99
,สมุทรปราการ,"15,371","8,035",52.27,"14,375","10,958",76.23,"14,832","10,935",73.73,"16,460","11,942",72.55,"16,798","16,735",99.62,"14,638","13,166",89.94,"13,938","13,897",99.71,"13,227","13,193",99.74,"12,986","12,950",99.72,"12,771","12,620",98.82
,นนทบุรี,"11,408","9,964",87.34,"10,815","10,668",98.64,"11,152","11,019",98.81,"11,367","11,337",99.74,"11,358","11,319",99.66,"9,899","9,888",99.89,"9,169","9,114",99.40,"8,949","8,876",99.18,"9,142","8,742",95.62,"8,910","8,037",90.20
,ปทุมธานี,"12,844","10,205",79.45,"11,685","11,068",94.72,"11,903","11,246",94.48,"10,825","9,833",90.84,"11,794","11,737",99.52,"11,226","10,755",95.80,"10,777","10,668",98.99,"10,499","10,368",98.75,"10,584","10,353",97.82,"10,756","10,474",97.38
,พระนครศรีอยุธยา,"10,133","8,928",88.11,"9,522","8,585",90.16,"9,268","8,450",91.17,"8,707","7,762",89.15,"8,881","8,663",97.55,"8,532","8,071",94.60,"8,335","8,159",97.89,"7,868","7,749",98.49,"7,538","7,429",98.55,"7,549","7,467",98.91
,อ่างทอง,"3,008","2,959",98.37,"2,936","2,912",99.18,"2,844","2,828",99.44,"2,987","2,979",99.73,"2,831","2,823",99.72,"2,575","2,567",99.69,"2,385","2,377",99.66,"2,330","2,322",99.66,"2,206","2,194",99.46,"2,028","2,024",99.80
,ลพบุรี,"7,652","5,283",69.04,"7,557","3,993",52.84,"7,366","3,787",51.41,"7,890","7,865",99.68,"7,678","7,655",99.70,"7,222","7,201",99.71,"6,754","6,735",99.72,"6,343","6,330",99.80,"6,395","6,382",99.80,"6,192","6,174",99.71
